Sample	Gene	above20X
71201	PRPS1	100.00
71201	PRPH	100.00
71201	PRPSAP2	97.35
71201	PRPSAP1	85.69
71201	PRPS2	94.69
71201	PRRG2	81.45
71201	PRRG1	88.64
71201	C11orf88	73.97
71201	COLCA1	92.20
71201	C11orf87	90.39
71201	LINC00870	0.00
71201	MED19	71.51
71201	TAPT1-AS1	15.44
71201	HSPA4	100.00
71201	NEURL4	95.13
71201	SLX4	100.00
71201	MEGF11	100.00
71201	FBN3	96.02
71201	CT45A9	0.00
71201	TP53TG3HP	0.00
71201	USP17L8	0.00
71201	ZNF90	100.00
71201	ZNF780A	100.00
71201	TRIM49B	63.00
71201	OR51V1	100.00
71201	C19orf54	96.32
71201	RPL34-AS1	19.32
71201	SNAR-A1	0.00
71201	SNAR-A2	0.00
71201	ZNF790	100.00
71201	RGS9BP	96.51
71201	KRTDAP	100.00
71201	EGOT	0.00
71201	GHRLOS	27.48
71201	ARHGEF33	92.64
71201	MIR1255B1	100.00
71201	AKR1B15	85.90
71201	KNSTRN	100.00
71201	ADAM5	0.00
71201	EAF1	100.00
71201	NKD1	100.00
71201	DNAJC14	93.91
71201	NKD2	80.24
71201	ADD1	98.88
71201	ADD2	100.00
71201	ADCY6	100.00
71201	ADCY7	98.84
71201	ADCY5	97.09
71201	ADCYAP1	84.93
71201	ADCYAP1R1	100.00
71201	ADCY8	92.58
71201	ADCY9	98.17
71201	PDGFRA	98.95
71201	PDGFRL	100.00
71201	PDGFA	99.86
71201	PDGFB	100.00
71201	PDE9A	98.54
71201	PDE1B	98.40
71201	PDE7A	96.96
71201	PDE8A	95.38
71201	ADSSL1	80.32
71201	PDE6B	100.00
71201	PDGFRB	99.60
71201	WFDC12	100.00
71201	FITM2	100.00
71201	MYO5B	99.24
71201	MYO5A	99.38
71201	MYO7A	97.51
71201	MYO6	100.00
71201	MYO1C	99.12
71201	MYO1A	100.00
71201	MYO1E	100.00
71201	MYO1D	100.00
71201	PLEKHH2	99.60
71201	MYO9A	98.73
71201	MYO7B	99.48
71201	HHIP-AS1	0.00
71201	LINC00624	0.00
71201	ANKRD23	89.78
71201	TXNRD3NB	99.28
71201	TMEM14EP	40.06
71201	PCED1B-AS1	0.00
71201	GOLGA8M	6.51
71201	MIR3908	46.32
71201	MIR3613	100.00
71201	MIR3661	100.00
71201	MIR3942	100.00
71201	MIR3150B	91.66
71201	MIR3689B	100.00
71201	MIR3928	100.00
71201	MIR3691	59.00
71201	MIR3913-1	0.00
71201	MIR3910-2	69.66
71201	PCA3	0.00
71201	ARHGEF3	100.00
71201	SLC45A1	94.91
71201	SPATA13	97.29
71201	SNRPF	74.41
71201	SNRPG	76.84
71201	SNRPD3	93.18
71201	SNRPE	82.18
71201	SNRPD1	100.00
71201	SNRPD2	93.02
71201	SNRPC	100.00
71201	SNRPN	100.00
71201	CCDC13-AS1	25.42
71201	PLCXD2-AS1	0.00
71201	STYK1	97.49
71201	GLYCTK-AS1	0.00
71201	STEAP3-AS1	24.49
71201	HJURP	99.78
71201	SLC22A15	96.42
71201	TBC1D2	97.32
71201	VNN3	100.00
71201	STK32B	100.00
71201	COPRS	83.53
71201	LAPTM4B	86.32
71201	IGLON5	66.63
71201	DLG5-AS1	3.60
71201	GBGT1	100.00
71201	RPS26P11	0.00
71201	LINC00891	0.00
71201	GLRA4	84.79
71201	C7orf57	100.00
71201	KRT77	97.64
71201	PART1	0.00
71201	FAM71C	96.38
71201	RMST	0.00
71201	CCER1	94.63
71201	ZNF345	100.00
71201	TECPR1	92.80
71201	ARMC8	97.75
71201	DCAF12	98.96
71201	FAM149A	98.65
71201	BRMS1	89.90
71201	EBLN1	100.00
71201	LTBP3	97.47
71201	SMIM17	86.04
71201	MIR4307HG	0.00
71201	LINC01359	0.00
71201	HMMR	99.87
71201	LINC01111	0.00
71201	HMOX2	88.83
71201	HMOX1	96.94
71201	NR4A1	98.08
71201	HMX2	100.00
71201	HMX1	65.76
71201	FOXA1	100.00
71201	BDH2	87.56
71201	DTNB	87.83
71201	DSPP	63.81
71201	MDM1	98.33
71201	LGALS14	100.00
71201	TSC22D3	91.76
71201	WRNIP1	73.30
71201	ZMAT1	93.32
71201	AGPAT3	100.00
71201	AGPAT4	98.43
71201	GEM	98.06
71201	GDNF	100.00
71201	LINC00965	0.00
71201	GDF9	100.00
71201	MSTN	100.00
71201	GDF10	95.70
71201	GDI2	89.57
71201	GDI1	99.51
71201	ADNP2	98.94
71201	LMTK2	96.84
71201	ANKRD26	99.72
71201	NTNG1	100.00
71201	CHSY1	95.94
71201	ADGRL1	92.97
71201	ICK	100.00
71201	SMCO2	97.48
71201	DNAJA3	92.43
71201	SART1	87.97
71201	PIGQ	96.27
71201	USP14	98.60
71201	TBX18	93.17
71201	TBX19	100.00
71201	UNC119	94.06
71201	LINC01037	0.00
71201	USP2	88.41
71201	USP6	78.27
71201	PPP1R35	89.65
71201	CDC42	89.66
71201	CDH1	100.00
71201	CDC25A	97.62
71201	CDC6	100.00
71201	CDC20	90.50
71201	CDC27	79.53
71201	CDC34	100.00
71201	CDC25B	86.51
71201	CDC25C	99.72
71201	RBMY1E	0.00
71201	KRTAP4-7	90.37
71201	IRX2	67.51
71201	C5orf38	83.08
71201	CSMD1	100.00
71201	RPPH1	0.00
71201	BTNL9	95.27
71201	IGSF5	92.92
71201	LCA5L	100.00
71201	DPPA5	99.73
71201	SNORD76	100.00
71201	LINC01450	0.00
71201	LINC00847	0.00
71201	PDZD11	90.89
71201	TMEM69	100.00
71201	SHISA5	90.01
71201	PAIP2	100.00
71201	CCDC174	99.33
71201	COX16	100.00
71201	AXDND1	99.33
71201	FZD8	78.94
71201	PCDHA4	100.00
71201	PCDHA3	100.00
71201	PCDHA2	99.47
71201	PCDHA1	100.00
71201	PCDHA8	100.00
71201	PCDHA7	97.38
71201	PCDHA6	100.00
71201	PCDHA5	100.00
71201	KIRREL3-AS2	0.00
71201	LINC00853	0.00
71201	RNASEH2B-AS1	0.00
71201	SLC25A30-AS1	0.00
71201	CDH20	97.25
71201	RABL2B	73.62
71201	WDR45	76.22
71201	FICD	100.00
71201	CORO1A	92.26
71201	PTP4A3	100.00
71201	LSM6	100.00
71201	AP4S1	87.68
71201	LDB3	96.28
71201	SEC24D	98.97
71201	AREL1	99.35
71201	FCHSD2	98.80
71201	URB1	97.23
71201	NEGR1	100.00
71201	ZC3H11A	100.00
71201	DDX46	98.04
71201	TOX4	91.25
71201	FAM27E5	70.90
71201	SLC26A11	97.82
71201	TAF8	100.00
71201	CNTNAP5	98.82
71201	GCSAML-AS1	0.00
71201	GPX8	91.21
71201	EID3	100.00
71201	CCDC73	90.67
71201	C16orf46	97.98
71201	ADAM15	88.98
71201	UBL4B	92.71
71201	ADAM6	52.97
71201	ADAM9	100.00
71201	ADAM1A	59.50
71201	SLC35A1	100.00
71201	GDPGP1	100.00
71201	HTATIP2	91.31
71201	ARPC1A	100.00
71201	AGPAT2	100.00
71201	TSPYL1	100.00
71201	TSPY1	0.00
71201	TSHR	100.00
71201	TSHB	100.00
71201	TSG101	100.00
71201	TSNAX	100.00
71201	SIRPD	95.74
71201	DEPDC4	93.08
71201	LAMP3	100.00
71201	SLIRP	100.00
71201	QTRT1	100.00
71201	SLC25A28	73.48
71201	ATAD2B	98.28
71201	FBXO42	100.00
71201	MOV10L1	100.00
71201	TAF7L	86.57
71201	RIN2	100.00
71201	PRR13	59.11
71201	LINC00612	21.60
71201	REEP1	94.75
71201	LRRC46	97.60
